timestamp,accel,HR,o2%
0010512,1.025680,086,095
0010522,1.002721,086,095
0010532,1.001871,086,095
0010542,1.002891,086,095
0010552,1.018197,086,095
0010562,1.013435,086,095
0010572,0.983503,086,095
0010582,1.038435,086,095
0010592,1.003061,086,095
0010602,1.032653,086,095
0010612,1.049830,086,095
0010622,0.991327,086,095
0010632,1.006292,086,095
0010642,1.015816,086,095
0010652,1.019558,086,095
0010662,1.016326,086,095
0010672,1.021769,086,095
0010682,1.000680,086,095
0010692,1.022109,086,095
0010702,1.015986,086,095
0010712,1.009014,086,095
0010722,0.997619,086,095
0010732,1.011054,086,095
0010742,1.011735,086,095
0010752,1.006463,086,095
0010762,1.013435,086,095
0010772,1.006633,086,095
0010782,1.013265,086,095
0010792,1.023469,086,095
0010802,1.005612,086,095
0010812,1.016156,086,095
0010822,1.019558,086,095
0010832,1.016326,086,095
0010843,1.033503,086,095
0010852,1.022789,086,095
0010862,0.993878,086,095
0010872,1.009184,086,095
0010882,1.027891,086,095
0010892,1.010884,086,095
0010902,1.013265,086,095
0010912,1.008673,086,095
0010922,0.994388,086,095
0010932,0.997959,086,095
0010942,1.001190,086,095
0010952,1.015986,086,095
0010962,1.000510,086,095
0010972,0.999320,086,095
0010982,1.010374,086,095
0010992,1.029252,086,095
0011002,1.002551,086,095
0011012,1.005442,086,095
0011022,1.002211,086,095
0011032,0.994898,086,095
0011042,1.020068,086,095
0011052,0.992177,086,095
0011062,1.019048,086,095
0011072,1.035374,086,095
0011082,0.986735,086,095
0011092,1.002721,086,095
0011102,1.004422,086,095
0011112,0.994218,086,095
0011122,0.996429,086,095
0011132,1.000680,086,095
0011142,1.002891,086,095
0011152,1.004082,086,095
0011162,1.004932,086,095
0011172,1.015816,086,095
0011182,1.006292,086,095
0011192,0.998469,086,095
0011202,1.005442,086,095
0011212,1.016837,086,095
0011222,1.013946,086,095
0011232,1.013946,086,095
0011242,1.013946,084,096
0011252,1.009864,084,096
0011262,0.999490,084,096
0011272,1.002891,084,096
0011282,1.014116,084,096
0011292,1.034524,084,096
0011302,1.014286,084,096
0011312,1.005442,084,096
0011322,0.990306,084,096
0011332,0.997619,084,096
0011342,0.993878,084,096
0011352,1.005952,084,096
0011362,1.005272,084,096
0011372,1.026871,084,096
0011382,1.001871,084,096
0011392,0.991837,084,096
0011402,0.990476,084,096
0011412,0.998129,084,096
0011422,1.017177,084,096
0011432,1.014626,084,096
0011442,0.998980,084,096
0011452,1.020578,084,096
0011462,1.009524,084,096
0011472,1.009694,084,096
0011482,1.012755,084,096
0011492,1.026191,084,096
0011502,1.018027,084,096
0011512,1.003061,084,096
0011522,1.003231,084,096
0011532,0.999320,084,096
0011542,1.001701,084,096
0011552,1.000850,084,096
0011562,1.026531,084,096
0011572,1.013435,084,096
0011582,1.011224,084,096
0011592,1.011735,084,096
0011602,0.982313,084,096
0011612,0.995918,084,096
0011622,1.017347,084,096
0011632,1.015136,084,096
0011642,1.003231,084,096
0011652,1.017517,084,096
0011662,1.005272,084,096
0011672,1.000510,084,096
0011682,1.020068,084,096
0011692,1.004422,084,096
0011702,1.007823,084,096
0011712,1.009014,084,096
0011722,1.011054,084,096
0011732,1.031803,084,096
0011742,0.994388,084,096
0011753,1.003742,084,096
0011762,1.027721,084,096
0011772,1.012415,084,096
0011782,1.009184,084,096
0011792,1.009694,084,096
0011803,1.007993,084,096
0011812,1.007313,084,096
0011822,1.006633,084,096
0011832,1.022789,084,096
0011842,0.997279,084,096
0011852,0.998980,084,096
0011862,0.986905,084,096
0011872,1.009524,084,096
0011882,1.010374,084,096
0011892,0.986905,084,096
0011902,1.010034,084,096
0011912,1.006973,084,096
0011922,0.997279,084,096
0011932,1.012585,084,096
0011942,0.996429,084,096
0011952,1.011735,084,096
0011962,0.995408,084,096
0011972,1.007313,084,096
0011982,1.030952,084,096
0011992,1.017347,084,096
0012002,1.021088,084,096
0012012,1.013095,084,096
0012022,1.015306,084,096
0012032,1.011735,084,096
0012042,1.010884,084,096
0012052,1.004762,084,096
0012062,0.998299,084,096
0012072,1.007823,084,096
0012082,1.005442,084,096
0012092,1.023129,084,096
0012102,0.999830,084,096
