timestamp,accel,HR,o2%
92283,0.164087,72,95
92284,0.164087,72,95
92285,0.164087,72,95
92287,0.163696,72,95
92288,0.163696,72,95
92289,0.163696,72,95
92290,0.163696,72,95
92291,0.163696,72,95
92292,0.163696,72,95
92293,0.163696,72,95
92298,0.163696,72,95
92299,0.163696,72,95
92300,0.163696,72,95
92301,0.163696,72,95
92302,0.163696,72,95
92303,0.163696,72,95
92304,0.163696,72,95
92305,0.163696,72,95
92306,0.163696,72,95
92308,0.164819,72,95
92309,0.164819,72,95
92310,0.164819,72,95
92311,0.164819,72,95
92312,0.164819,72,95
92313,0.164819,72,95
92314,0.164819,72,95
92315,0.164819,72,95
92316,0.164819,72,95
92317,0.164819,72,95
92327,0.164819,72,95
92329,0.163696,72,95
92330,0.163696,72,95
92331,0.163696,72,95
92332,0.163696,72,95
92333,0.163696,72,95
92334,0.163696,72,95
92335,0.163696,72,95
92336,0.163696,72,95
92337,0.163696,72,95
92338,0.163696,72,95
92339,0.163696,72,95
92340,0.163696,72,95
92341,0.163696,72,95
92342,0.163696,72,95
92343,0.163696,72,95
92344,0.163696,72,95
92345,0.163696,72,95
92346,0.163696,72,95
92347,0.163696,72,95
92353,0.164062,72,95
92354,0.164062,72,95
92355,0.164062,72,95
92356,0.164062,72,95
92357,0.164062,72,95
92358,0.164062,72,95
92359,0.164062,72,95
92360,0.164062,72,95
92361,0.164062,72,95
92362,0.164062,72,95
92363,0.164062,72,95
92364,0.164062,72,95
92365,0.164062,72,95
92366,0.164062,72,95
92367,0.164062,72,95
92368,0.164062,72,95
92369,0.164062,72,95
92371,0.164282,72,95
92372,0.164282,72,95
92373,0.164282,72,95
92382,0.164282,72,95
92383,0.164282,72,95
92384,0.164282,72,95
92385,0.164282,72,95
92386,0.164282,72,95
92387,0.164282,72,95
92388,0.164282,72,95
92389,0.164282,72,95
92390,0.164282,72,95
92392,0.163281,72,95
92393,0.163281,72,95
92394,0.163281,72,95
92395,0.163281,72,95
92396,0.163281,72,95
92397,0.163281,72,95
92398,0.163281,72,95
92399,0.163281,72,95
92400,0.163281,72,95
92401,0.163281,72,95
92407,0.163281,72,95
92408,0.163281,72,95
92409,0.163281,72,95
92410,0.163281,72,95
92411,0.162817,72,95
92412,0.162817,72,95
